epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1825.6,1.69128,0.84087,0.00132,0.64078,0.58765,0.60628,0.33144,2.04071,1.14451,0.00163,0.000267474,0.000267474,0.000267474
76,1846.7,1.67299,0.82413,0.0012,0.62593,0.5891,0.59613,0.33494,1.93309,1.20004,0.00161,0.0002625,0.0002625,0.0002625
77,1867.91,1.64569,0.81873,0.00121,0.60703,0.62348,0.60884,0.34544,1.90949,1.15265,0.00149,0.000257526,0.000257526,0.000257526
78,1889.35,1.6661,0.80884,0.00124,0.59509,0.60956,0.60134,0.33045,1.89287,1.17469,0.00157,0.000252555,0.000252555,0.000252555
79,1910.62,1.64566,0.80013,0.00121,0.61915,0.62779,0.60616,0.33814,1.89613,1.20592,0.00163,0.000247587,0.000247587,0.000247587
80,1931.88,1.65024,0.82861,0.00124,0.6391,0.58655,0.60909,0.34241,1.91273,1.15961,0.0016,0.000242627,0.000242627,0.000242627
81,1952.98,1.59986,0.78751,0.00122,0.65708,0.58578,0.61229,0.34833,1.90192,1.15946,0.00161,0.000237674,0.000237674,0.000237674
82,1974.51,1.6536,0.80117,0.00114,0.67261,0.56503,0.61704,0.34526,1.91063,1.13384,0.00163,0.000232733,0.000232733,0.000232733
83,1995.61,1.64036,0.79135,0.00116,0.71456,0.5733,0.62641,0.35028,1.90813,1.16005,0.00157,0.000227805,0.000227805,0.000227805
84,2034.56,1.61445,0.79394,0.00124,0.65215,0.60084,0.60768,0.33269,1.96482,1.20622,0.00162,0.000222892,0.000222892,0.000222892
85,2055.6,1.62811,0.75372,0.00117,0.64354,0.61908,0.61521,0.34737,1.89473,1.1608,0.0016,0.000217997,0.000217997,0.000217997
86,2089.8,1.64302,0.76025,0.00117,0.64147,0.58678,0.60561,0.33795,1.91049,1.14851,0.00156,0.000213121,0.000213121,0.000213121
87,2111.09,1.59919,0.78383,0.00106,0.67775,0.5704,0.59947,0.3389,1.85477,1.23679,0.00158,0.000208267,0.000208267,0.000208267
